no,field,type,desc
1,ICN ,Text ," Illinois Case Number (ICN) is a unique identifier assigned to each crash by the Crash Information System (CIS).  It is used to link records between the Crash, Vehicle, and Person levels.  At the Crash level, the ICN will appear one time for each crash.  At the Vehicle and Person levels, the ICN may appear multiple times depending on the number of vehicles and persons involved with the crash.  ICN’s for years prior to 2010 may be eight or 12 characters, while ICN’s for years 2010 and later are 12 characters.  For ICN’s with eight characters, the first character represents the year of the crash.  For ICN’s with 12 characters, the first four characters represent the year of the crash."
2,CrashID ,Text ," Similar in function to the ICN, the CrashID is a unique identifier assigned to each crash by CIS.  The CrashID is included in the Crash level and will appear once for each crash.  Statewide crash data extract files do not include the CrashID at the Vehicle and Person levels.  County and City crash data extract files may or may not include the CrashID at the Vehicle and Person level, depending on the extract year.  It is advised that you check the extract files prior to import to determine field position."
3,CountyCode ,Numeric , Code used to identify county in which crash occurred.  County Name text is in field 49.
4,CrashYear ,Text , Last two digits of the crash year.
5,CrashMonth ,Numeric , Numeric month of the crash.
6,CrashDay ,Numeric , Numeric day of month in which crash occurred.
7,NumberOfVehicles ,Numeric , Number of vehicles involved in crash.
8,DayOfWeekCode ,Numeric , Numeric day of week in which crash occurred.  Derived from Crash Date.
9,CrashHour ,Text , Hour of day in which crash occurred (24 hour).
10,CityCode ,Numeric , Code for city in which crash occurred.  List of city codes and names available on request.  City name is in field 52.
11,CityClassCode ,Numeric , Code for city classification.
12,Township ,Text , Township number.
13,CollisionTypeCode ,Numeric , Code for type of first crash.
14,TotalFatals ,Numeric , Total number of persons killed in crash.  Self coding.
15,TotalInjured ,Numeric , Total number of persons injured in crash.  Self coding.
16,NoInjuries ,Numeric , Count of persons involved in the crash that were not injured or killed.
17,AInjuries ,Numeric , Total of incapacitating injuries in the crash.
18,BInjuries ,Numeric , Total of non-incapacitating injuries in the crash.
19,CInjuries ,Numeric , Total of possible injuries in the crash.
20,CrashSeverity ,Text , Literal for highest injury severity of crash.
21,AgencyCode ,Numeric , Code for type of agency that investigated the crash. 
22,RouteNumber ,Numeric , Number used to identify the route type.  Route Prefix + Route Number; Example:  9055 = Interstate 55.
23,Milestation ,Decimal ," Location measured to the nearest 0.01 mile from the origin of an IDOT roadway, increasing to the end of the roadway.  Locations along IDOT roadways are defined by two variables:  the route identifier and the linear measure (mile station).  Self-coding."
24,ClassOfTrafficwayCode ,Numeric , Code for class of trafficway.
25,NHS ,Text , National Highway System
26,TrafficControlDeviceCode ,Numeric , Code for type of traffic control device.
27,RoadSurfaceConditionCode ,Numeric , Code for road surface condition.
28,RoadDefectsCode ,Numeric , Code for road defects.
29,LightConditionCode ,Numeric , Code for light condition.
30,WeatherCode ,Numeric , Code for atmospheric conditions.
31,Cause1Code  ,Text ," The factor which is most significant in causing the crash, as determined by officer judgment.  Also referred to as Primary Cause."
32,Cause2Code ,Text ," The factor which is second most significant in causing the crash, as determined by officer judgment.  Also referred to as Secondary Cause"
33,RailroadCrossingNumber ,Text , text/number used to identify rail crossing.
34,TimeOfCrash ,Text , Time of crash (12 hour) as entered by the reporting officer.
35,TrafficControlDeviceConditionCode ,Numeric , Condition/working order of traffic control device.
36,IntersectionRelated ,Text , Crash did/did not occur at or in relation to (traffic cuing) an intersection.
37,HitAndRun ,Text , Crash did/did not involve a vehicle that fled the scene.
38,CrashDate ,Text , Actual date of crash as entered by the reporting officer.
39,NumberOfLanes ,Text , Total through lanes of roadway in either direction.  Excludes turn lanes.
40,AlignmentCode ,Numeric,Code for roadway alignment at crash location
